Prefix,Designation,Date,WHOIS,RDAP,Status [1],Note
54.0.0.1/8,Administered by ARIN,1992-03,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
55.0.0.1/8,DoD Network Information Center,1995-04,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
56.0.0.1/8,US Postal Service,1994-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,LEGACY,
57.0.0.1/8,Societe Internationale de Telecommunications Aeronautiques S.C.R.L.,1995-05,whois.ripe.net,https://rdap.db.ripe.net/,LEGACY,
58.0.0.1/8,APNIC,2004-04,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
59.0.0.1/8,APNIC,2004-04,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
60.0.0.1/8,APNIC,2003-04,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
61.0.0.1/8,APNIC,1997-04,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
62.0.0.1/8,RIPE NCC,1997-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
63.0.0.1/8,ARIN,1997-04,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
64.0.0.1/8,ARIN,1999-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
65.0.0.1/8,ARIN,2000-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
66.0.0.1/8,ARIN,2000-07,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
67.0.0.1/8,ARIN,2001-05,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
68.0.0.1/8,ARIN,2001-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
69.0.0.1/8,ARIN,2002-08,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
70.0.0.1/8,ARIN,2004-01,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
71.0.0.1/8,ARIN,2004-08,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
72.0.0.1/8,ARIN,2004-08,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
73.0.0.1/8,ARIN,2005-03,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
74.0.0.1/8,ARIN,2005-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
75.0.0.1/8,ARIN,2005-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
76.0.0.1/8,ARIN,2005-06,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
77.0.0.1/8,RIPE NCC,2006-08,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
78.0.0.1/8,RIPE NCC,2006-08,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
79.0.0.1/8,RIPE NCC,2006-08,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
80.0.0.1/8,RIPE NCC,2001-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
81.0.0.1/8,RIPE NCC,2001-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
82.0.0.1/8,RIPE NCC,2002-11,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
83.0.0.1/8,RIPE NCC,2003-11,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
84.0.0.1/8,RIPE NCC,2003-11,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
85.0.0.1/8,RIPE NCC,2004-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
86.0.0.1/8,RIPE NCC,2004-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
87.0.0.1/8,RIPE NCC,2004-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
88.0.0.1/8,RIPE NCC,2004-04,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
89.0.0.1/8,RIPE NCC,2005-06,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
90.0.0.1/8,RIPE NCC,2005-06,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
91.0.0.1/8,RIPE NCC,2005-06,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
92.0.0.1/8,RIPE NCC,2007-03,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
93.0.0.1/8,RIPE NCC,2007-03,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
94.0.0.1/8,RIPE NCC,2007-07,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
95.0.0.1/8,RIPE NCC,2007-07,whois.ripe.net,https://rdap.db.ripe.net/,ALLOCATED,
96.0.0.1/8,ARIN,2006-10,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
97.0.0.1/8,ARIN,2006-10,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
98.0.0.1/8,ARIN,2006-10,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
99.0.0.1/8,ARIN,2006-10,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,
100.0.0.1/8,ARIN,2010-11,whois.arin.net,https://rdap.arin.net/registryhttp://rdap.arin.net/registry,ALLOCATED,[5]
101.0.0.1/8,APNIC,2010-08,whois.apnic.net,https://rdap.apnic.net/,ALLOCATED,
